ÃÄ«~¥N½X,¾A¥Î±Ú¸s(¦¨¤H/¨àµ£),ÀËÅç¤è¦¡,¤U­­,¤W­­,¤U­­³æ¦ì,¤W­­³æ¦ì,«ØÄ³,³Æµù,·s¼W®É¶¡,­×§ï®É¶¡
OMIRA,¦¨¤H,Clcr,30.00,50.00,mL/min,mL/min,¶}©l®É¥²¶·¨C¹j¤@¤ÑªA¥Î¤@¦¸MIRAPEX PR¡C¶·ÂÔ·V¥ÎÃÄ¡A¨Ã¥J²Óµû¦ôªvÀø¤ÏÀ³¤Î­@¨ü©Ê¡A¤~¥i©ó¤@¶g«á½Õ°ª¨C¤é¾¯¶q¡A¨Ã¶i¤@¨B¥H¨C¦¸0.375 mgªº¼W´T±N¾¯¶q½Õ¦Ü³Ì°ª¤@¤Ñ2.25 mg¡C,¾¯¶q½Õ¾ãÀW²v¤£¥i¦h©ó¤@¶g¤@¦¸¡C,201804160530,202303090959
OMIRT,¦¨¤H,Clcr,0,10.00,mL/min,mL/min,¤fªA³æ¾¯15²@§Jmirtazapine«á¡A¬Û¸û©ó¥¿±`¨ü¸ÕªÌ¡AµÇÅ¦­««×¨ü·l(¦Ù»ÄÓþ²M°£²v <10 ml/min)¡Amirtazapineªº²M°£²v¬ù­°§C50%¡CMirtazapineªº¥­§¡¦å¤¤¿@«×¼W¥[115%¡C³oÃþ±wªÌµ¹¤©mirtazapine ®É¶·¯d·N¡C,¥é³æ,201806261029,201806261030
OMIRT,¦¨¤H,Clcr,10.00,40.00,mL/min,mL/min,¤fªA³æ¾¯15²@§Jmirtazapine«á¡A¬Û¸û©ó¥¿±`¨ü¸ÕªÌ¡AµÇÅ¦¤¤«×¨ü·l(¦Ù»ÄÓþ²M°£²v >10 ml/min¡A<40 ml/min)¡Amirtazapineªº²M°£²v¬ù­°§C30%¡CMirtazapineªº¥­§¡¦å¤¤¿@«×¼W¥[55%¡C³oÃþ±wªÌµ¹¤©mirtazapine ®É¶·¯d·N¡C,¥é³æ,201806261026,201806261030
OMIRT3,¦¨¤H,eGFR,0,29.90,mL/min/1.73m2,mL/min/1.73m2,Initial: 7.5-15 mg HS; titrate slowly with close monitoring for adverse effects.,Lexidrug 20240617,202406171502,
OMIRT3,¦¨¤H,eGFR,0,1.00,mL/min/1.73m2,mL/min/1.73m2,Hemodialysis¡A intermittent (thrice weekly)¡A Peritoneal dialysis¡A CRRT¡A PIRRT: Initiate at 7.5-15 mg once daily and titrate slowly with close monitoring for adverse effects.,Lexidrug 20240617,202406171504,
OMIRT3,¦¨¤H,eGFR,30.00,120.00,mL/min/1.73m2,mL/min/1.73m2,No dosage adjustment necessary.,Lexidrug 20240617,202406171502,
OMOBI,¦¨¤H,Clcr,0,15.00,mL/min,mL/min,¤£«ØÄ³¨Ï¥Î,,201804141621,201804141621
OMON,¦¨¤H,Clcr,0,10.00,mL/min,mL/min,(§t¦å²G³zªR±wªÌ)¤£«ØÄ³¨Ï¥Î,,,202303090959
OMOR1,¦¨¤H,eGFR,0,10.00,mL/min/1.73m2,mL/min/1.73m2,Reduce dose by 50% or consider alternative opioid analgesics,,201804141510,201804141510
OMOR1,¦¨¤H,eGFR,10.00,50.00,mL/min/1.73m2,mL/min/1.73m2,Reduce dose by 25%,,201804141509,202303091001
OMORC,¦¨¤H,Clcr,0,15.00,mL/min,mL/min,CrCl below 15 mL/min: Use not recommended.,Micromedex 20210514,202105140917,202105140924
OMORC,¦¨¤H,Clcr,15.00,30.00,mL/min,mL/min,CrCl 15 to 30 mL/min: Use standard dosing regimen¡A but decrease the amount of each dose by 50%,Micromedex 20210514,202105140916,202105140924
OMORC,¦¨¤H,Clcr,30.00,999.00,mL/min,mL/min,CrCl greater than 30 mL/min: No adjustment necessary; use standard dosing regimen.,Micromedex 20210514,202105140916,202105140924
OMTX,¦¨¤H,Clcr,0,9.90,mL/min,mL/min,¸T¤î¨Ï¥Î,¥é³æ 20240528,202405281655,202405281655
OMTX,¦¨¤H,Clcr,10.00,29.90,mL/min,mL/min,Á×§K¨Ï¥Î¡A­YµL¦X¾A´À¥NÀøªk¥²¶·¨Ï¥Î¡A­°§C50%¾¯¶q,¥é³æ 20240528,202405281655,202405281656
OMTX,¦¨¤H,Clcr,30.00,59.90,mL/min,mL/min,­°§C50%¤§ªvÀø¾¯¶q¡AÁ×§K°ª¾¯¶qÀøªk,¥é³æ 20240528,201804261554,202405281656
ONAT,¦¨¤H,Clcr,0,30.00,mL/min,mL/min,¤£«ØÄ³¨Ï¥Î,,201804120107,202303091000
ONEO,¦¨¤H,Clcr,0,9.00,mL/min,mL/min,increase interval to every 18-24 hours,,,202303090959
ONEO,¦¨¤H,Clcr,10.00,49.00,mL/min,mL/min,increase interval to every 12-18 hours,,,202303090959
ONEO,¦¨¤H,Clcr,50.00,120.00,mL/min,mL/min,increase interval to every 6 hours,,,202303090958
ONEOT,¦¨¤H,Clcr,0,0,mL/min,mL/min,ÄY­«µÇ¥\¯à¤£¥þ±wªÌ¤£«ØÄ³¨Ï¥Î,,201804191608,201804191608
ONES,¦¨¤H,Clcr,0,14.99,mL/min,mL/min,ESRD (CrCl <15 mL/minute or requiring hemodialysis): 6.25 mg once daily; administered without regard to timing of hemodialysis. Use of alogliptin has not been studied in patients undergoing peritoneal dialysis.,,201809101542,201809131656
ONES,¦¨¤H,Clcr,15.00,29.99,mL/min,mL/min,6.25 mg once daily,,201809101541,202303091002
ONES,¦¨¤H,Clcr,30.00,59.99,mL/min,mL/min,12.5 mg once daily.,,201809101541,202303091001
ONEU,¦¨¤H,Clcr,15.00,29.00,mL/min,mL/min,200 to 700 mg/day given once daily,,201804160456,201804160458
ONEU,¦¨¤H,Clcr,30.00,59.00,mL/min,mL/min,400 to 1400 mg/day given in 2 divided doses,,201804160456,201804160458
ONEU,¦¨¤H,Clcr,60.00,0,mL/min,mL/min,900 to 3600 mg/day given in 3 divided doses,,201804160455,201804160457
ONEU1,¦¨¤H,Clcr,0,14.99,mL/min,mL/min,150-300 mg/day (­Y¬°150 mg/dayÀ³¥H300 mg ¹j¤ÑªA¥Î¤@¦¸ªº¤è¦¡µ¹¤©),¥é³æ 20240103,202401031608,202401031608
ONEU1,¦¨¤H,Clcr,15.00,29.99,mL/min,mL/min,150-600 mg/day (­Y¬°150 mg/dayÀ³¥H300 mg ¹j¤ÑªA¥Î¤@¦¸ªº¤è¦¡µ¹¤©),¥é³æ 20240103,202401031605,202401031607
ONEU1,¦¨¤H,Clcr,30.00,49.99,mL/min,mL/min,300-900 mg/day,¥é³æ 20240103,202401031607,202401031607
ONEU1,¦¨¤H,Clcr,50.00,79.99,mL/min,mL/min,600-1800 mg/day,¥é³æ 20240103,202401031605,202401031605
ONUB,¦¨¤H,eGFR,0.01,15.00,mL/min/1.73m2,mL/min/1.73m2,No dosage adjustments provided in the manufacturer's labeling (has not been studied).,Lexidrug 20240326,202403260955,202403260956
ONUB,¦¨¤H,eGFR,15.01,29.99,mL/min/1.73m2,mL/min/1.73m2,Not receiving hemodialysis: Reduce dosage to 300mg BID,Lexidrug 20240326,202403260954,202403260957
ONUM,¦¨¤H,Clcr,0,1.00,mL/min,mL/min,µÇ¥\¯à¹ï levodopa/carbidopa ªº¹ø²M¼vÅT¦³­­¡CNumient¬ÛÃö¬ã¨s©|¥¼°w¹ï¨Ï¥Î©óµÇ¥\¯à¤£¥þ±wªÌ¶i¦æ±´¨s¡C«ØÄ³ÂÔ·V§ë¤©­««×µÇ¥\¯à¤£¥þ±wªÌ¡C,¥é³æ 20231222,202312221337,202312221337
ONURT,¦¨¤H,Clcr,0,14.99,mL/min,mL/min,Avoid use. Dialysis: Avoid use.,Micromedex 20241017,202410171604,202410171606
ONUX,¦¨¤H,Clcr,0,20.00,mL/min,mL/min,¸T¥Î,,201804160605,201804160606
ONUX,¦¨¤H,Clcr,20.00,30.00,mL/min,mL/min,¥¿±`¾¯¶qªº1/6¡A¨C¤é¤@¦¸ªA¥Î,,201804160606,201804160606
ONUX,¦¨¤H,Clcr,30.00,49.00,mL/min,mL/min,¥¿±`¾¯¶qªº1/3¡A¨C¤é¤À¨â¦¸ªA¥Î,,201804160605,202303091001
ONUX,¦¨¤H,Clcr,50.00,79.00,mL/min,mL/min,¥¿±`¾¯¶qªº2/3¡A¨C¤é¤À¨â¨ì¤T¦¸ªA¥Î,,201804160604,202303091001
OOKP,¦¨¤H,Clcr,0,0,mL/min,mL/min,µÇ¥\¯à¤£¥þ¯f±wÀ³¦Ò¼{µ¹¤©¸û§Cªº°_©l¾¯¶q(5²@§J),,201804142359,201804142359
OPAN,¦¨¤H,eGFR,0,10.00,mL/min/1.73m2,mL/min/1.73m2,increase dosing interval to every 8 hours,,201804142325,201804142325
OPAN,¦¨¤H,eGFR,10.00,50.00,mL/min,mL/min,increase dosing interval to every 6 hours,,201804142324,201804142324
OPAN,¦¨¤H,eGFR,50.00,0,mL/min,mL/min,increase dosing interval to every 4 hours,,201804142323,201804142324
OPAN,¨àµ£,eGFR,0,50.00,mL/min/1.73m2,mL/min/1.73m2,give usual weight or age-based dose,,201804142326,201804142326
OPAX,¦¨¤H,eGFR,0,30.00,mL/min/1.73m2,mL/min/1.73m2,¤£«ØÄ³­««×µÇ¥\¯à¤£¥þ¡]°ò©ó CKD-EPI ¤½¦¡¡AeGFR < 30 mL/min¡^¯f¤H¨Ï¥Î¥»«~¡C,¥é³æ,202205031047,202301041107
OPAX,¦¨¤H,eGFR,30.00,60.00,mL/min/1.73m2,mL/min/1.73m2,¤¤«×µÇ¥\¯à¤£¥þ(eGFR:30-60 mL/min)¯f¤H¡A¾¯¶q­°§C¦Ü150mg Nirmatrelvir + 100mg ritonavir¡A¨C¤é¨â¦¸¡A«ùÄò5¤Ñ¡C³B¤èÀ³¸Ô²Ó»¡©úPaxlovid¤º¨CºØ¬¡©Ê¦¨¤Àªº¾¯¶q¡CÂå®v/ÃÄ®vÀ³´NµÇ¥\¯à¤£¥þ¯f¤Hªºµ¹ÃÄ»¡©ú´£¨Ñ«ØÄ³¡C,¥é³æ,202205031046,202205031051
OPAXS,¦¨¤H,eGFR,0,30.00,mL/min/1.73m2,mL/min/1.73m2,¤£«ØÄ³­««×µÇ¥\¯à¤£¥þ¡]°ò©ó CKD-EPI ¤½¦¡¡AeGFR < 30 mL/min¡^¯f¤H¨Ï¥Î¥»«~¡C,¥é³æ,202301041106,202301041107
OPAXS,¦¨¤H,eGFR,30.00,60.00,mL/min/1.73m2,mL/min/1.73m2,¤¤«×µÇ¥\¯à¤£¥þ(eGFR:30-60 mL/min)¯f¤H¡A¾¯¶q­°§C¦Ü150mg Nirmatrelvir + 100mg ritonavir¡A¨C¤é¨â¦¸¡A«ùÄò5¤Ñ¡C³B¤èÀ³¸Ô²Ó»¡©úPaxlovid¤º¨CºØ¬¡©Ê¦¨¤Àªº¾¯¶q¡CÂå®v/ÃÄ®vÀ³´NµÇ¥\¯à¤£¥þ¯f¤Hªºµ¹ÃÄ»¡©ú´£¨Ñ«ØÄ³¡C,¥é³æ,202301041107,202301041107
OPAXS1,¦¨¤H,eGFR,0,29.99,mL/min/1.73m2,mL/min/1.73m2,Use not recommended.,Micromedex 20240326,202403261535,202403261535
OPAXS1,¦¨¤H,eGFR,30.00,59.99,mL/min/1.73m2,mL/min/1.73m2,Nirmatrelvir 150 mg + ritonavir 100 mg BID for 5 days. Removal of 1 nirmatrelvir tablet from the morning and evening doses of all blister packs is required prior to dispensing.,Micromedex 20240326,202403261534,202403261535
OPKM,¦¨¤H,Clcr,0,15.00,mL/min,mL/min,200 mg orally every 7 days,,201804160539,201804160539
OPKM,¦¨¤H,Clcr,15.00,29.00,mL/min,mL/min,200 mg orally on first day then 100 mg every other day,,201804160538,202303091001
OPKM,¦¨¤H,Clcr,30.00,50.00,mL/min,mL/min,200 mg orally on first day then 100 mg/day,,201804160538,202303090959
OPON,¦¨¤H,eGFR,0,30.00,mL/min/1.73m2,mL/min/1.73m2,Avoid use.,KDIGO 2012,201804141552,202408221630
OPON,¦¨¤H,eGFR,30.00,60.00,mL/min/1.73m2,mL/min/1.73m2,Temporarily discontinue in patients with intercurrent disease that increases risk of acute kidney injury.,KDIGO 2012,201912091232,202408221631
OPR150,¦¨¤H,Clcr,0,29.90,mL/min,mL/min,Nonvalvular atrial fibrillation:There are no dosage adjustments provided in the manufacturer's labeling (has not been studied).,,201804191158,202303090959
OPR150,¦¨¤H,Clcr,15.00,30.00,mL/min,mL/min,Nonvalvular atrial fibrillation:75 mg twice daily,,201804191156,202303091000
OPRAD,¦¨¤H,Clcr,0,15.00,mL/min,mL/min,Nonvalvular atrial fibrillation:There are no dosage adjustments provided in the manufacturer's labeling (has not been studied).,,201804191200,201910241136
OPRAD,¦¨¤H,Clcr,15.00,30.00,mL/min,mL/min,Nonvalvular atrial fibrillation:75 mg twice daily,,201804191200,202303091000
OPRI,¦¨¤H,Clcr,0,0,mL/min,mL/min,»´«×¦Ü¤¤«×µÇ¥\¯à¤£¥þªº¯f¤HÀ³ÂÔ·V¨Ï¥Î,­««×µÇ¥\¯à¤£¥þ¯f¤H¤£«ØÄ³¨Ï¥ÎPriligy,201804212347,201804212347
OPRIP,¦¨¤H,Clcr,0,40.00,mL/min,mL/min,Initiate at 50% of usual dosage  ³Ì¤j¾¯¶q¬°³æ¤@¾¯¶q¨C¤½¤çÅé­«0.2²@§J(0.2mg/kg/dose),¨C¤éÁ`¾¯¶q¤£¥i¶W¹L¨C¤½¤çÅé­«0.5²@§J,201804141434,201804141434
OPRM,¦¨¤H,Clcr,0,0,mL/min,mL/min,ESRD (including hemodialysis or continuous ambulatory peritoneal dialysis)  Diabetic Gastroparesis: 5 mg orally twice daily; Maximum 10 mg/day. Gastroesophageal reflux disease: 5 mg orally 30 minutes before each meal and at bedtime OR 10 mg twice daily; Maximum 20 mg/day.,Micromedex 20221206,202212061033,202212061036
OPRM,¦¨¤H,Clcr,60.00,0,mL/min,mL/min,Diabetic Gastroparesis: 5 mg orally 30 minutes before each meal and at bedtime; Maximum: 20 mg/day. Gastroesophageal reflux disease: 5 mg orally 30 minutes before each meal and at bedtime OR 10 mg three times daily; Maximum: 30 mg/day.,Micromedex 20221206,202212061029,202303091000
OPYRZ,¦¨¤H,Clcr,0,29.99,mL/min,mL/min,25 to 35 mg/kg/dose 3 times per week administered after dialysis.,,202003151009,202303091001
OPZA5,¦¨¤H,Clcr,0,30.00,mL/min,mL/min,25 to 35 mg/kg orally 3 times a week,3gm/day,,202303090959
OPZAT,¦¨¤H,Clcr,0,29.99,mL/min,mL/min,25 to 35 mg/kg/dose 3 times per week administered after dialysis.,,201812031139,202303090959
OQTE,¦¨¤H,eGFR,0,45.00,mL/min/1.73m2,mL/min/1.73m2,¸T¥Î©óeGFR§C©ó45mL/min/1.73m2ªº¯f¤H,¥é³æ,202112201105,202303090959
OQTE,¦¨¤H,eGFR,0.01,45.00,mL/min/1.73m2,mL/min/1.73m2,Renal impairment¡A moderate to severe (estimated GFR less than 45 mL/min/1.73 m(2)): Use is contraindicated,Micromedex 20211220,202112201106,202303091000
OQUEP,¦¨¤H,Clcr,0,0,mL/min,mL/min,Quetiapine XR ¥Î©óµÇ¥\¯à¤£¥þ¯f¤HªºÁ{§É¸gÅç¦³­­,¥é³æ,202007011201,202303091001
ORAD,¦¨¤H,Clcr,0,0,mL/min,mL/min,µÇ¥\¯à»ÙÃª¡AµÇ¥\¯à§C¤U¤Îaddison¤ó¯gÀ³ÂÔ·VªA¥Î,,201804261513,201804261513
ORANC,¦¨¤H,Clcr,0,30.00,mL/min,mL/min,³¡¥÷­««×µÇ¥\¯à¤£¥þ¯f¤HªA¥ÎRanolazine «á¡Aµo¥Í«æ©ÊµÇ°IºÜ¡C­Yµo¥Í«æ©ÊµÇ°IºÜ(¦p¡A¦å¼ß¦Ù»ÄÓþ¤É°ª¥B¦ñÀH¦å²G§¿¯À´á¤É°ª)¡A½Ð°±¤îªA¥ÎRanolazine ¨Ã±µ¨ü¾A·íªvÀø¡C,¥é³æ,202101041850,202101050822
ORANC,¦¨¤H,Clcr,30.01,60.00,mL/min,mL/min,¤¤­««×µÇ¥\¯à¤£¥þ¯f¤H¡A¦b¶}©l¨Ï¥ÎRanolazine®É¤ÎªA¥ÎRanolazine´Á¶¡¡A»Ý©w´ÁºÊ´ú¦å¼ß¦Ù»ÄÓþ¤Î¦å²G§¿¯À´á¬O§_¤É°ª¡C,¥é³æ,202101041851,202101050822
OREOS,¦¨¤H,Clcr,29.99,0,mL/min,mL/min,CrCl less than 30 mL/min¡A use not recommended,Micromedex 20201015,202010151008,202010151006
OREOS,¦¨¤H,Clcr,30.00,0,mL/min,mL/min,­««×µÇ¥\¯à»ÙÃª¡]¦ÙÓi»ÄÓþ¹ø²M²v¡Õ30ml/min¡^¤§±wªÌ¤£«ØÄ³¨Ï¥Î,¥é³æ,202010150950,202010151006
OREX,¦¨¤H,Clcr,60.00,0,mL/min,mL/min,MAX 2 mg once daily (major depressive disorder) or MAX 3 mg once daily (schizophrenia),Micromedex 20210330,202103301120,202103301121
ORIB,¦¨¤H,Clcr,0,10.00,mL/min,mL/min,¤£«ØÄ³¨Ï¥Î,,201804150003,201804150003
ORIB,¦¨¤H,Clcr,10.00,30.00,mL/min,mL/min,dosing should be reduced to a third of usual doses,,201804150003,202303091001
ORIB,¦¨¤H,Clcr,30.00,60.00,mL/min,mL/min,A dose reduction of 50%,,201804150002,202303090959
ORIBA,¦¨¤H,Clcr,0,29.99,mL/min,mL/min,decrease ribavirin to 200 mg ORALLY once daily and decrease peginterferon alfa-2a to 135 mcg SUBQ once weekly; do not attempt further decreases of ribavirin; if severe adverse reactions or laboratory abnormalities occur¡A discontinue ribavirin; if therapy is restarted and intolerance continues¡A discontinue regimen.,,,202303090958
ORIBA,¦¨¤H,Clcr,30.00,50.00,mL/min,mL/min,decrease ribavirin to alternating daily doses of 200 mg and 400 mg ORALLY every other day,,,202303090958
ORIF3,¦¨¤H,Clcr,0,10.00,mL/min,mL/min,50% of the normal daily dose,,,202303090959
ORIF3,¦¨¤H,Clcr,10.00,50.00,mL/min,mL/min,50% to 100% of the normal dose,,,202303091001
ORIF5,¦¨¤H,Clcr,0,0.99,mL/min,mL/min,chronic kidney disease or ESRD and HIV: peritoneal dialysis¡A 50% to 100% of the full dose¡A with an extra 50% to 100% of the full dose after peritoneal dialysis.,Micromedex 20210301,202103010859,202303091002
ORIF5,¦¨¤H,Clcr,0,1.00,mL/min,mL/min,chronic kidney disease or ESRD and HIV: hemodialysis¡A 50% to 100% of the full dose with no supplement following hemodialysis.,Micromedex 20210301,202103010858,202303091000
ORIF5,¦¨¤H,Clcr,0,50.00,mL/min,mL/min,chronic kidney disease or ESRD and HIV: CrCl 50 mL/min or less¡A 50% to 100% of the full dose,Micromedex 20210301,202103010857,202303091001
ORIF5,¦¨¤H,Clcr,0.01,60.00,mL/min,mL/min,µÇ¥\¯à¤£¥þ¯f¤H¡A¤£»Ý­n­°§C¾¯¶q¡C¦¹¥~¡AµÇ¤p²y¹LÂo³t²v(GFR)­°§C¤ÎµL§¿¯gªº¯f¤H¡A¨Ã¤£·N¨ý¨äRifampinªº¦å¼ß¿@«×¥ç·|§ïÅÜ¡C,¥é³æ 20240909,202409091404,202303091002
ORIFA,¦¨¤H,Clcr,0,30.00,mL/min,mL/min,Pyrazinamide: 25 to 35 mg/kg orally 3 times a week,,201803230959,201803231006
ORIFA,¦¨¤H,Clcr,0,9.99,mL/min,mL/min,Rifampin: 50% of the full dose,,201803230958,201803231006
ORIFA,¦¨¤H,Clcr,10.00,50.00,mL/min,mL/min,Rifampin: 50% to 100% of the full dose,,201803230958,201803231006
ORIFI,¦¨¤H,Clcr,0,9.99,mL/min,mL/min,Rifampin: 50% of the full dose,,201803231003,201803231004
ORIFI,¦¨¤H,Clcr,0,30.00,mL/min,mL/min,Pyrazinamide: 25 to 35 mg/kg orally 3 times a week,,201803231004,201803231004
ORIFI,¦¨¤H,Clcr,10.00,50.00,mL/min,mL/min,Rifampin: 50% to 100% of the full dose,,201803231003,201803231005
ORISD,¦¨¤H,Clcr,0,30.00,mL/min,mL/min,Initial¡A 0.5 mg orally twice daily; increase dose in increments of no more than 0.5 mg twice a day¡A with increases to dosages above 1.5 mg twice a day occurring at intervals of at least 1 week,,201804142345,201804142345
ORYB,¦¨¤H,Clcr,30.00,0.01,mL/min,mL/min,¤£«ØÄ³¥Î©ó¥½´ÁµÇ¯fªº¯f¤H,¥é³æ 20230404,202304041351,202304041351
ORYB14,¦¨¤H,Clcr,30.00,0.01,mL/min,mL/min,¤£«ØÄ³¥Î©ó¥½´ÁµÇ¯fªº¯f¤H,¥é³æ 20230404,202410070934,202410070934
OSAB,¦¨¤H,Clcr,10.00,30.00,mL/min,mL/min,Decrease dose by 75%,,201804160500,201804160500
OSAB,¦¨¤H,Clcr,30.00,50.00,mL/min,mL/min,Decrease dose by 50%,,201804160500,202303091001
OSAB,¦¨¤H,Clcr,50.00,80.00,mL/min,mL/min,Decrease dose by 25%,,201804160500,202303091001
OSAM,¦¨¤H,Clcr,0,10.00,mL/min,mL/min,¤£«ØÄ³¨Ï¥Î,,201804121434,201804121434
OSAN1,¦¨¤H,eGFR,0,59.99,mL/min/1.73m2,mL/min/1.73m2,µÇ¯f¯g­Ô¸s ¬°»¤¾É½w¸Ñ§@¥Î¡A«ØÄ³¾¯¶q¬°¦¨¤H¨C¤é¨C¤½¤çÅé­« 5 ²@§J¡C°_©l¾¯¶q¤£À³¶W¹L¨C¤é¨C¤½¤çÅé­«2.5 ²@§J¡C Ãþ­·Àã©ÊÃö¸`ª¢ «e6 ¶g¤§ªvÀøªº«ØÄ³¾¯¶q¬°¨C¤é¨C¤½¤çÅé­« 3 ²@§J¡A¤À¦¨¨â¦¸¡C¤£À³¸Ó¶W¹L¨C¤½¤çÅé­«5 ²@§J¡C­n¹F¨ì³Ì¤jªºÀø®Ä¡B·s Åé·üÀøµ{»Ý­n«ùÄòªø¹F12 ¶g¡C·sÅé·ü°_©l¾¯¶q¬°¨C¤é¨C¤½¤çÅé­«2.5 ²@§J¡B¤À¦¨¨â¦¸µ¹ÃÄ¡A¨Ã¨Ì·Ó¯f±w­@¨ü©Ê¤¹³\¨Ó¼W¥[ªvÀø¾¯¶q¡C °®Å~ «ØÄ³°_©l¾¯¶q¬°¨C¤é¨C¤½¤çÅé­«2.5 ²@§J¤À¦¨¨â¦¸¡C¤£À³¶W¹L¨C¤½¤çÅé­«5 ²@§J¡C,,201804231705,202303091001
OSEB,¦¨¤H,Clcr,0,0,mL/min,mL/min,¦å²G³zªR¯f¤H:600 mg ORALLY every 96 hours¡Agive after hemodialysis,,,202303090958
OSEB,¦¨¤H,Clcr,0,29.99,mL/min,mL/min,600 mg ORALLY every 72 hours,,,202303090958
OSEB,¦¨¤H,Clcr,30.00,49.99,mL/min,mL/min,600 mg ORALLY every 48 hours,,,202303090958
OSEF,¦¨¤H,Clcr,0,5.00,mL/min,mL/min,single dose of 400 mg or 9 mg/kg at the end of each hemodialysis session,¦å²G³zªR¯f¤H,,202303090958
OSEF,¦¨¤H,Clcr,5.00,29.00,mL/min,mL/min,100 mg every 24 hours or 2.25 mg/kg every 24 hours,,,202303090958
OSEF,¦¨¤H,Clcr,30.00,49.00,mL/min,mL/min,200 mg every 24 hours or 4.5 mg/kg every 24 hours,,,202303090958
OSEF,¦¨¤H,Clcr,50.00,120.00,mL/min,mL/min,µL¶·½Õ¾ã¾¯¶q,,,202303090958
OSELA,¦¨¤H,Clcr,0,30.00,mL/min,mL/min,¤£«ØÄ³¨Ï¥Î,,201804141554,201804141555
OSER1,¦¨¤H,Clcr,0,30.00,mL/min,mL/min,«ØÄ³±N¾¯¶q­­¨î¦b³Ì§C½d³ò,,201804150040,201804150042
OSERM,¦¨¤H,Clcr,10.00,25.00,mL/min,mL/min,­««×µÇ¥\¯à¤£¥þªº¯f±w¡A¨äÃÄª«±Æ°£¤U­°¡AÀ³ª`·N½Õ¾ã¾¯¶q,,201804130657,201804130657
OSERO,¦¨¤H,Clcr,29.99,0.01,mL/min,mL/min,Severe impariement: Begin with 10 mg QD in the morning. May increase dosage as clinically needed in 10 mg/day increments at intervals of at least 1 week to a maximum dosage of 40 mg/day.,Micromedex 20230329,202303291635,202303291637
OSERO,¦¨¤H,Clcr,30.00,0,mL/min,mL/min,20 mg/day. If an increase is necessary¡A limit dose to the lower end of the dosage range.,¥é³æ 20230329,202303291411,202303291411
OSPI,¦¨¤H,eGFR,30.00,49.00,mL/min/1.73m2,mL/min/1.73m2,°_©l¾¯¶q:12.5 mg orally once a day,ºû«ù¾¯¶q: 12.5mg~25 mg once a day after 4 weeks for potassium 5 mEq/L or less,201804120120,201804120121
OSPI,¦¨¤H,eGFR,50.00,0,mL/min/1.73m2,mL/min/1.73m2,°_©l¾¯¶q:12.5 mg to 25 mg orally once a day,ºû«ù¾¯¶q:25 mg once or twice a day after 4 weeks for potassium 5 mEq/L or less,201804120117,201804120120
OSPL,¦¨¤H,Clcr,9.99,0,mL/min,mL/min,34% of normal dose,Micromedex 20230308,202303081939,202303081939
OSPL,¦¨¤H,Clcr,29.99,10.00,mL/min,mL/min,50% of normal dose,Micromedex 20230308,202303081939,202303081939
OSPL,¦¨¤H,Clcr,60.00,30.00,mL/min,mL/min,70% of normal dose,Micromedex 20230308,202303081938,202303081939
OSUL,¦¨¤H,eGFR,0,30.00,mL/min/1.73m2,mL/min/1.73m2,Avoid use.(KDIGO 2012 guidelines),,201912091238,201912091238
OSUL,¦¨¤H,eGFR,30.00,60.00,mL/min/1.73m2,mL/min/1.73m2,Temporarily discontinue in patients with intercurrent disease that increases risk of acute kidney injury.(KDIGO 2012 guidelines),,201912091237,201912091237
OSUL,¦¨¤H,Clcr,0,0,mL/min,mL/min,©úÅãµÇ¥\¯à¤£¥þ¤§¯f±w¡A¥i´î¤Ö¨C¤é¾¯¶q¡AÁ×§KÃÄª«¿n»W,,201804141600,202303091001
OSUN,¦¨¤H,Clcr,0,0,mL/min,mL/min,¦å²G³zªR¯f¤H:µL¶·½Õ¾ã¾¯¶q,,,202303090958
OSUN,¦¨¤H,Clcr,0,29.99,mL/min,mL/min,¨C¤é¤@¦¸100mg,,,202303090958
OSUT,¦¨¤H,eGFR,0,10.00,mL/min/1.73m2,mL/min/1.73m2,ESRD on hemodialysis: No initial adjustment required; subsequent dosage increases (up to twofold) may be required due to reduced (47%) exposure.,,201804301505,202303090959
OSYN1,¦¨¤H,Clcr,0,20.00,mL/min,mL/min,¸T¥Î,¥é³æ,202012021554,201804160606
OSYN1,¦¨¤H,Clcr,20.00,30.00,mL/min,mL/min,¥¿±`¾¯¶qªº1/6¡A¨C¤é¤@¦¸ªA¥Î,¥é³æ,202012021554,201804160606
OSYN1,¦¨¤H,Clcr,30.00,49.00,mL/min,mL/min,¥¿±`¾¯¶qªº1/3¡A¨C¤é¤À¨â¦¸ªA¥Î,¥é³æ,202012021553,202303090959
OSYN1,¦¨¤H,Clcr,50.00,79.00,mL/min,mL/min,¥¿±`¾¯¶qªº2/3¡A¨C¤é¤À¨â¨ì¤T¦¸ªA¥Î,¥é³æ,202012021553,202303091001
OSYNG,¦¨¤H,Clcr,0,20.00,mL/min,mL/min,Use is contraindicated.,,202001081115,202303091000
OSYNG,¦¨¤H,Clcr,20.00,30.00,mL/min,mL/min,Decrease to 1/6 of the normal daily dose administered once daily.,,202001081116,202303091000
OSYNG,¦¨¤H,Clcr,30.00,49.00,mL/min,mL/min,Initial and maximum dose: Decrease to 1/3 of the normal daily dose administered in 2 divided doses.,,202001081116,202303091002
